date,symbol,open,high,low,close,volume
2024-01-01,AAPL,151.3,152.64,149.58,152.53,11791341
2024-01-02,AAPL,152.61,155.05,151.73,153.75,18548146
2024-01-03,AAPL,153.31,154.48,150.43,152.36,11236098
2024-01-04,AAPL,152.3,153.46,150.18,150.34,13149131
2024-01-05,AAPL,151.56,152.12,150.46,151.62,19585408
2024-01-08,AAPL,152.98,155.52,150.07,155.02,17186935
2024-01-09,AAPL,155.82,158.5,153.52,157.47,14014067
2024-01-10,AAPL,159.4,160.91,156.59,160.67,12854679
2024-01-11,AAPL,159.08,161.89,158.43,159.68,17912163
2024-01-12,AAPL,159.0,161.32,157.76,158.1,14592983
2024-01-15,AAPL,158.08,158.6,157.86,158.22,14538561
2024-01-16,AAPL,158.23,160.07,155.85,159.6,18224016
2024-01-17,AAPL,159.97,160.02,158.85,159.85,15577056
2024-01-18,AAPL,157.94,159.42,156.94,157.43,17420174
2024-01-19,AAPL,155.72,158.45,154.65,156.23,15562620
2024-01-22,AAPL,157.43,160.18,156.9,158.61,11393454
2024-01-23,AAPL,160.46,161.24,157.74,160.36,11107447
2024-01-24,AAPL,160.42,160.6,157.93,158.48,18037803
2024-01-25,AAPL,157.99,160.48,156.61,157.04,10386741
2024-01-26,AAPL,158.14,158.25,157.67,158.23,16334191
2024-01-29,AAPL,157.67,160.53,156.26,158.48,18773681
2024-01-30,AAPL,158.47,159.04,156.56,157.17,10673053
2024-01-31,AAPL,158.53,159.65,157.61,158.88,14185947
2024-02-01,AAPL,157.04,159.84,155.98,157.58,14227939
2024-02-02,AAPL,158.57,160.15,157.53,159.76,14904841
2024-02-05,AAPL,159.92,162.49,157.21,159.49,11005379
2024-02-06,AAPL,159.23,160.01,158.93,159.78,16999928
2024-02-07,AAPL,159.17,162.09,158.61,160.8,19907080
2024-02-08,AAPL,159.77,161.51,159.39,161.01,15390877
2024-02-09,AAPL,161.01,163.27,158.53,162.47,18804632
